"","Year","Sum","Turtles_Total","Pinnipeds_Total","Mysticetes_Total","Odontocetes_Total"
"1",1990,20,3,9,2,6
"2",1991,36,17,13,2,4
"3",1992,25,10,12,1,2
"4",1993,30,16,12,1,1
"5",1994,46,13,29,0,4
"6",1995,66,28,31,2,5
"7",1996,55,6,43,1,5
"8",1997,40,8,27,1,4
"9",1998,57,6,46,1,4
"10",1999,47,15,21,2,9
"11",2000,41,9,24,1,7
"12",2001,90,11,69,4,6
"13",2002,49,7,34,2,6
"14",2003,47,9,28,2,8
"15",2004,68,7,47,6,8
"16",2005,55,8,34,3,10
"17",2006,53,4,35,4,10
"18",2007,50,15,23,4,8
"19",2008,56,20,25,3,8
"20",2009,59,4,39,5,11
"21",2010,66,21,33,1,11
"22",2011,84,19,45,2,18
